date_start,date_end,price_start,price_end,range_start_min,range_start_max,range_end_min,range_end_max,amount0_start,amount1_start,amount0_end,amount1_end,value_start,value_hold,value_end,il,il_value,il_net,rebalance_cost,net_value_after_cost,day_volum_expected,cumulative_il,cumulative_rebalance_cost,cumulative_il_net,cumulative_volum,min_apr_required
2023-06-28,2023-06-29,0.0585,0.0585,0.0560870533943866,0.0610167550777861,0.0560870533943866,0.0610167550777861,1227649.572649571,71817.50000000009,1227649.572649571,71817.50000000009,143635.0,143635.0,143635.0,0.0,0.0,0.0,0.0,143635.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-29,2023-06-30,0.0585,0.0584,0.0560870533943866,0.0610167550777861,0.0559911780894389,0.0609124529323539,1227649.572649571,71817.50000000009,1278061.6621093892,68870.91444917678,143635.0,143512.23504273506,143509.7155163651,-1.7556178183739918e-05,-2.5195263699570205,-7.912674222671161e-05,8.836129258649548,143500.87938710646,2105.5342962308423,-2.5195263699570205,8.836129258649548,-11.355655628606568,3785.218542868856,0.016065532887979687
2023-06-30,2023-07-02,0.0584,0.0584,0.0560870533943866,0.0610167550777861,0.0559911780894389,0.0609124529323539,1227649.572649571,71817.50000000009,1278061.6621093892,68870.91444917678,143512.23504273506,143512.23504273506,143509.7155163651,-1.7556178183739918e-05,-2.5195263699570205,-7.912674222671161e-05,8.836129258649548,143500.87938710646,2105.5342962308423,-5.039052739914041,17.672258517299095,-22.711311257213136,7570.437085737712,0.016065532887979687
2023-07-02,2023-07-03,0.0584,0.0585,0.0559911780894389,0.0609124529323539,0.0560870533943866,0.0610167550777861,1229751.7123287339,71817.50000000194,1179296.4802940877,74766.60723340132,143635.0,143757.9751712329,143755.45133060543,-1.7556178183869223e-05,-2.523840627458412,-7.912674222678511e-05,8.851259616969235,143746.60007098847,2109.139663170274,-7.562893367372453,26.52351813426833,-34.08641150164078,11362.137167213594,0.0160655328879327
2023-07-03,2023-07-04,0.0585,0.0587,0.0559911780894389,0.0609124529323539,0.0562788040042819,0.0612253593686503,1229751.7123287339,71817.50000000194,1078773.0860440098,80657.26955936821,143757.9751712329,144003.9255136986,143981.24971015158,-0.00015746656534630036,-22.67580354702659,-0.00034188804589819095,26.55741714853196,143954.69229300306,1293.8712005017906,-30.238696914399043,53.08093528280029,-83.31963219719933,27773.210732399773,0.009840093535801338
2023-07-04,2023-07-05,0.0587,0.0587,0.0559911780894389,0.0609124529323539,0.0562788040042819,0.0612253593686503,1229751.7123287339,71817.50000000194,1078773.0860440098,80657.26955936821,144003.9255136986,144003.9255136986,143981.24971015158,-0.00015746656534630036,-22.67580354702659,-0.00034188804589819095,26.55741714853196,143954.69229300306,1293.8712005017906,-52.91450046142563,79.63835243133225,-132.55285289275787,44184.28429758595,0.009840093535801338
2023-07-05,2023-07-06,0.0587,0.0583,0.0559911780894389,0.0609124529323539,0.0558953027844912,0.0608081507869218,1229751.7123287339,71817.50000000194,1280336.7049655188,68865.86676330026,144003.9255136986,143512.0248287671,143509.49666279,-1.761640517660793e-05,-2.528165977098979,-7.929249224685576e-05,8.851260138953622,143500.64540265105,2107.6980539515475,-55.44266643852461,88.48961257028587,-143.9322790088105,47977.42633627017,0.016082067199357394
2023-07-06,2023-07-07,0.0583,0.0581,0.0558953027844912,0.0608081507869218,0.0557035521745959,0.0605995464960576,1231861.063464794,71817.50000000252,1333509.6276742695,65901.56229571202,143635.0,143388.62778730705,143378.4716635871,-7.082935290397539e-05,-10.156123719963944,-0.0001945058891787536,17.733808825918594,143360.73785476116,2525.8950353182167,-65.59879015848855,106.22342139620446,-171.822211554693,57274.070518231005,0.01929058827020454
2023-07-07,2023-07-09,0.0581,0.0583,0.0558953027844912,0.0608081507869218,0.0558953027844912,0.0608081507869218,1231861.063464794,71817.50000000252,1231861.063464794,71817.50000000252,143388.62778730705,143635.0,143635.0,0.0,0.0,0.0,0.0,143635.0,0.0,-65.59879015848855,106.22342139620446,-171.822211554693,57274.070518231005,0.0
2023-07-09,2023-07-10,0.0583,0.0585,0.0558953027844912,0.0608081507869218,0.0560870533943866,0.0610167550777861,1231861.063464794,71817.50000000252,1130734.2204965553,77723.2989712212,143635.0,143881.37221269298,143871.2508702697,-7.034505070137057e-05,-10.12134242328466,-0.00019359797874252544,17.733800415781666,143853.5170698539,2537.485997499002,-75.72013258177321,123.95722181198613,-199.67735439375934,66559.11813125311,0.019312733784228053
2023-07-10,2023-07-11,0.0585,0.0586,0.0560870533943866,0.0610167550777861,0.0561829286993342,0.0611210572232182,1227649.572649571,71817.50000000009,1177366.5794888132,74761.56817605687,143635.0,143757.76495726494,143755.24973410132,-1.7496259519367977e-05,-2.5152231636166107,-7.896166100810787e-05,8.83612874022605,143746.4136053611,2106.96852553648,-78.23535574538982,132.7933505522122,-211.028706297602,70342.90209920067,0.016049017616607795
2023-07-11,2023-07-12,0.0586,0.059,0.0560870533943866,0.0610167550777861,0.0565664299191249,0.0615382658049466,1227649.572649571,71817.50000000009,977514.6178513176,86512.79554328728,143757.76495726494,144248.82478632478,144186.15799651502,-0.0004344353578103241,-62.66678980976576,-0.0007408412391215613,44.198688286750816,144141.95930822825,6156.033841004982,-140.90214555515558,176.992038838963,-317.8941843941186,105964.72813137287,0.046751069239693466
2023-07-12,2023-07-13,0.059,0.0592,0.0560870533943866,0.0610167550777861,0.0567581805290203,0.0617468700958109,1227649.572649571,71817.50000000009,878349.0679845294,92373.47115076803,144248.82478632478,144494.3547008547,144371.73597545217,-0.0008486056473027609,-122.61872540251352,-0.0012770187798500467,61.903279132788,144309.83269631938,20238.482089908506,-263.5208709576691,238.895317971751,-502.4161889294201,167472.06297647336,0.15350052930178743
2023-07-13,2023-07-14,0.0592,0.0594,0.0560870533943866,0.0610167550777861,0.0569499311389156,0.0619554743866751,1227649.572649571,71817.50000000009,779684.776757011,98224.25530147376,144494.3547008547,144739.88461538462,144537.5310408402,-0.001398049853930281,-202.3535745444242,-0.0019482286114330925,79.632809878794,144457.8982309614,40906.92155521006,-465.8744455020933,318.52812785054505,-784.4025733526383,261467.52445087943,0.3099062145339841
2023-07-14,2023-07-15,0.0594,0.0597,0.0569499311389156,0.0619554743866751,0.0572375570537586,0.0622683808229714,1209048.8215488077,71817.50000000083,1063101.4386723863,80508.63907832427,143635.0,143997.71464646465,143975.79496706574,-0.00015222241167317396,-21.919679398910375,-0.00033354604277445823,26.11018848998254,143949.68477857576,1396.8363636907218,-487.79412490100367,344.6383163405276,-832.4324412415313,277477.48041384376,0.010623562235521739
2023-07-15,2023-07-16,0.0597,0.0597,0.0569499311389156,0.0619554743866751,0.0572375570537586,0.0622683808229714,1209048.8215488077,71817.50000000083,1063101.4386723863,80508.63907832427,143997.71464646465,143997.71464646465,143975.79496706574,-0.00015222241167317396,-21.919679398910375,-0.00033354604277445823,26.11018848998254,143949.68477857576,1396.8363636907218,-509.71380429991405,370.7485048305101,-880.4623091304242,293487.43637680804,0.010623562235521739
2023-07-16,2023-07-17,0.0597,0.0596,0.0569499311389156,0.0619554743866751,0.0571416817488109,0.0621640786775393,1209048.8215488077,71817.50000000083,1111628.1100124207,77614.02414979567,143997.71464646465,143876.8097643098,143867.05950653594,-6.776809820721625e-05,-9.750257773848716,-0.00018874209541863034,17.40535278322023,143849.65415375272,2551.6983364571715,-519.4640620737628,388.15385761373034,-907.6179196874931,302539.3065624977,0.01942146929258442
2023-07-17,2023-07-18,0.0596,0.0597,0.0569499311389156,0.0619554743866751,0.0572375570537586,0.0622683808229714,1209048.8215488077,71817.50000000083,1063101.4386723863,80508.63907832427,143876.8097643098,143997.71464646465,143975.79496706574,-0.00015222241167317396,-21.919679398910375,-0.00033354604277445823,26.11018848998254,143949.68477857576,1396.8363636907218,-541.3837414726731,414.2640461037129,-955.647787576386,318549.262525462,0.010623562235521739
2023-07-18,2023-07-19,0.0597,0.0597,0.0572375570537586,0.0622683808229714,0.0572375570537586,0.0622683808229714,1202973.199329955,71817.50000000167,1202973.1993299553,71817.50000000167,143635.0,143635.0,143635.0,0.0,0.0,0.0,0.0,143635.0,0.0,-541.3837414726731,414.2640461037129,-955.647787576386,318549.262525462,0.0
2023-07-19,2023-07-20,0.0597,0.0595,0.0572375570537586,0.0622683808229714,0.0570458064438633,0.0620597765321072,1202973.199329955,71817.50000000167,1299904.3594373434,66040.41098941579,143635.0,143394.405360134,143384.7203759377,-6.75408791017601e-05,-9.684984196297592,-0.00018831187293632008,17.317884845669656,143367.40249109204,2544.300216457355,-551.0687256689707,431.5819309493825,-982.6506566183532,327550.2188727844,0.01943030421732678
2023-07-20,2023-07-21,0.0595,0.059,0.0572375570537586,0.0622683808229714,0.0565664299191249,0.0615382658049466,1202973.199329955,71817.50000000167,1544384.9270357513,51555.06630523108,143394.405360134,142792.918760469,142673.7770003404,-0.0008343674263600235,-119.14176012860844,-0.001259165422254122,60.65814571731383,142613.11885462308,19494.538137098203,-670.2104857975792,492.2400766666964,-1162.4505624642757,387483.5208214252,0.14961767823719702
2023-07-21,2023-07-22,0.059,0.0588,0.0572375570537586,0.0622683808229714,0.0563746793092296,0.0613296615140824,1202973.199329955,71817.50000000167,1643049.1900612041,45743.74958861207,142792.918760469,142552.32412060304,142355.04196421086,-0.0013839280250897159,-197.28215639217524,-0.001931313487565614,78.03106986575817,142277.0108943451,39750.36217547236,-867.4926421897544,570.2711465324545,-1437.763788722209,479254.5962407363,0.3057611868295129
2023-07-22,2023-07-23,0.0588,0.0588,0.0563746793092296,0.0613296615140824,0.0563746793092296,0.0613296615140824,1221386.0544217518,71817.50000000099,1221386.0544217518,71817.50000000099,143635.0,143635.0,143635.0,0.0,0.0,0.0,0.0,143635.0,0.0,-867.4926421897544,570.2711465324545,-1437.763788722209,479254.5962407363,0.0
2023-07-23,2023-07-24,0.0588,0.0591,0.0563746793092296,0.0613296615140824,0.0566623052240726,0.0616425679503787,1221386.0544217518,71817.50000000099,1072450.6870829894,80597.211481795,143635.0,144001.4158163265,143979.04708839967,-0.00015533686109979306,-22.368727926834254,-0.0003385065840127968,26.37669943414444,143952.67038896552,1335.9905024367292,-889.8613701165887,596.647845966599,-1486.5092160831878,495503.07202772924,0.010160572873287787
