date_start,date_end,price_start,price_end,range_start_min,range_start_max,range_end_min,range_end_max,amount0_start,amount1_start,amount0_end,amount1_end,value_start,value_hold,value_end,il,il_value,il_net,rebalance_cost,net_value_after_cost,day_volum_expected,cumulative_il,cumulative_rebalance_cost,cumulative_il_net,cumulative_volum,min_apr_required
2023-07-16,2023-07-17,6.662e-05,6.668e-05,6.523527721193161e-05,6.803411573743176e-05,6.529403008843591e-05,6.809538933311243e-05,1951365956.1693227,129999.99999999972,1867311767.5022328,135602.2111071536,260000.0,260117.08195737016,260114.55976420248,-9.69637652667553e-06,-2.522193167678779,-2.0467537589702313e-05,2.801762985000011,260111.75800121747,559.139634642464,-2.522193167678779,2.801762985000011,-5.3239561526787895,10647.912305357579,0.0003923001596479377
2023-07-17,2023-07-18,6.668e-05,6.67e-05,6.523527721193161e-05,6.803411573743176e-05,6.5313614380604e-05,6.811581386500597e-05,1951365956.1693227,129999.99999999972,1839318911.4182832,137469.05465840487,260117.08195737016,260156.10927649355,260151.62605000436,-1.7232831862593763e-05,-4.483226489188382,-3.1592332589081376e-05,3.7357118401676734,260147.8903381642,1495.0292980414179,-7.005419656867161,6.537474825167685,-13.542894482034846,27085.788964069692,0.0010487839381796331
2023-07-18,2023-07-19,6.67e-05,6.669e-05,6.523527721193161e-05,6.803411573743176e-05,6.530382223451995e-05,6.81056015990592e-05,1951365956.1693227,129999.99999999972,1853313765.4130197,136535.66787384887,260156.10927649355,260136.59561693185,260133.16288924316,-1.319586612006549e-05,-3.4327276886906475,-2.5761321565675393e-05,3.2687348020092113,260129.89415444116,327.98577336287235,-10.438147345557809,9.806209627176896,-20.244356972734707,40488.71394546941,0.00023010293256692411
2023-07-19,2023-07-20,6.669e-05,6.66e-05,6.523527721193161e-05,6.803411573743176e-05,6.521569291976352e-05,6.801369120553821e-05,1951365956.1693227,129999.99999999972,1979409257.3995233,128132.03572610642,260136.59561693185,259960.9726808766,259960.69226891466,-1.078669459735849e-06,-0.280411961954087,-4.671181909493515e-06,0.9339130308152289,259959.75835588385,1307.0021377222838,-10.718559307511896,10.740122657992124,-21.45868196550402,42917.36393100804,0.0009175536811064234
2023-07-20,2023-07-21,6.66e-05,6.64e-05,6.523527721193161e-05,6.803411573743176e-05,6.501984999808255e-05,6.780944588660265e-05,1951365956.1693227,129999.99999999972,2260538761.959776,109436.94481041831,259960.9726808766,259570.69948964275,259536.71860454744,-0.0001309118677960343,-33.98088509531226,-0.0001704940062257401,10.27436335948177,259526.44424118794,47413.04347166098,-44.699444402824156,21.014486017473892,-65.71393042029806,131427.8608405961,0.03333971578319292
2023-07-21,2023-07-23,6.64e-05,6.646e-05,6.523527721193161e-05,6.803411573743176e-05,6.507860287458683e-05,6.787071948228332e-05,1951365956.1693227,129999.99999999972,2176066677.1675534,115048.42483094767,259570.69948964275,259687.7814470129,259669.81619550328,-6.918019557762568e-05,-17.965251509624068,-9.795246869459762e-05,7.471807772936532,259662.34438773035,20986.88747337507,-62.664695912448224,28.486293790410425,-91.15098970285865,182301.9794057173,0.014749912099938848
2023-07-23,2023-07-24,6.646e-05,6.652e-05,6.507860287458683e-05,6.787071948228332e-05,6.513735575109113e-05,6.793199307796398e-05,1956063797.7730906,130000.00000000036,1871604544.449198,135615.69518189123,259999.99999999994,260117.36382786633,260114.82947865187,-9.743098950277501e-06,-2.534349214460235,-2.0540179985644566e-05,2.808508255951052,260112.0209703959,548.3180829816341,-65.19904512690846,31.294802046361475,-96.49384717326993,192987.69434653985,0.00038470720929181394
2023-07-24,2023-07-25,6.652e-05,6.65e-05,6.507860287458683e-05,6.787071948228332e-05,6.511777145892304e-05,6.791156854607043e-05,1956063797.7730906,130000.00000000036,1899744927.9322743,133744.07829758682,260117.36382786633,260078.2425519109,260077.11600508308,-4.33156890311366e-06,-1.126546827814309,-1.1530667114932988e-05,1.8723288108931877,260075.2436762722,1491.5639661577575,-66.32559195472277,33.16713085725466,-99.49272281197743,198985.44562395485,0.0010466527313324656
2023-07-25,2023-07-26,6.65e-05,6.648e-05,6.507860287458683e-05,6.787071948228332e-05,6.509818716675493e-05,6.789114401417688e-05,1956063797.7730906,130000.00000000036,1927898009.1895146,131872.1799459638,260078.2425519109,260039.12127595543,260038.83959688275,-1.083218060794527e-06,-0.2816790726792533,-4.6832971243467396e-06,0.9361613962226075,260037.90343548654,1308.9646470867085,-66.60727102740202,34.10329225347727,-100.71056328087928,201421.12656175857,0.0009186552611281071
2023-07-26,2023-07-27,6.648e-05,6.655e-05,6.507860287458683e-05,6.787071948228332e-05,6.516673218934329e-05,6.796262987580432e-05,1956063797.7730906,130000.00000000036,1829417756.680225,138422.59303476877,260039.12127595543,260176.04574179955,260170.34474183776,-2.1912086278093844e-05,-5.700999961787602,-3.8104249943673566e-05,4.212813114516724,260166.13192872325,2976.3736945417563,-72.30827098918962,38.316105367994,-110.62437635718362,221248.75271436723,0.0020878175020018755
